text,rating
My coworkers adore them. They do not work for me because of the length and style of my hair but I bought them for others who were having ear issues from the surgical masks. They work great,positive
These came fast which was good. Perhaps I was thinking 4oz was a bit bigger so I was a bit shocked by the size. Other than that they are fine. I will be using them for some natural hair cream. I would purchase again.,positive
"The product came fast and was as described. It has a earthy/ nutty scent, kinda like shea butter. Great Quality",positive
CHEAP!!!!!!!,negative
Amazing and lasted a long time! Great to start a journy to a less plastic filled life!,positive
love,positive
I use this all the time and it was becoming hard to find locally so I go to Amazon in search of help in finding it. Thank you so much for having it!!,positive
The brushes are a good value. I was pleasantly surprised by how much I like the comb! Thx!,positive
"While the eyelashes are beautiful, they are VERY hard to use if you can't get a nice line of the eye liner applied and that seems to be an impossible task.  The eyeliner is dried out and clumpy.<br /><br />These were purchased in November for my daughter as a Christmas gift.  She finally got to using them three weeks later... she handed the gift back to me saying, ""Thanks, but these things suck.""<br /><br />I gave it a try, and holy cow, she was very right.  I think you could be using a CRAYON and get better results.  Without the eyeliner, the eyelashes are useless unless you glue them on.  I'm very disappointed in this purchase.",negative
Great color,positive
Good buy,positive
The brushes seem very soft and do a good job applying to make up.  I would say this set is meant more for a preteen than anything else.,positive
"Five stars. Is is  excellent for skin elasticity, luster, and preservation",positive
"King Manes is the bee's knees! Love that it is all natural and made in the US, not to mention both the smell and feel are top notch. Highly recommend!",positive
Love the shine !!!,positive
"I was excited to order this eyeshadow pallet because I've heard good things about the quality for a good price. But I must say I was very disappointed in the manner of shipping, it came in an Amazon shipping bag with no other precautions to keep it safe. My pallet arrived all broken up and a mess.",negative
I got this for restless legs at night. It worked pretty well but runs out way too fast making it too expensive for me to buy again.,neutral
Use for double colostomy site since 2001. Never had any skin breakdown under colostomy appliance. Using the spray applicator I am able to apply the amount of product I need to be sure the area is well protected,positive
Long lasting<br />Good colors bright and realistic,positive
Comfort ❤️❤️❤️,positive
Great product.,positive
"Love the smell when freshly washed but the smell is barely there after drying hands. Also, the soap is watered heavily, squirts out thinly and with force into your hand and typically splashes up onto the mirror or onto whatever I'm wearing--had to move it to a private bath after complaint of guests who loved the smell but didn't like 'wearing' it. Might work well in a foam dispenser, but it's a bit pricey to try again when it's obviously rather watered down/thin.",neutral
"The perfect solution for the pipe smoker with several tins of tobacco open at the same time, never have it dried out again.",positive
"I love these hair towels! They are so soft and lightweight. The other twist towels I have flop around on my head. Even my daughter likes them! The colors are very pretty. These are by far my favorite hair towels.<br />Edit: forgot about how good my hair looks after using these, it's not all frizzy and I have defined curls!",positive
[[VIDEOID:1d0a2c3a6165abc20938b65fc6ca8976]] So I usually wear Wispies that I buy at Sally’s beauty supply because they look natural. I wanted to try something different that were mink so I saw these and the discounted price and bought them. For me these lashes are for like nights that you’re going to the club or some event and want to look over the top glam. I wouldn’t wear these out in daylight lol. Plus they come up to my eyebrows I was like “I look like a straight up clown.” Plus I had to cut off a lot from the lashes to get them sized you could probably put them on a horse.<br />Overall these lashes seem to be for glam night and that’s about it.,positive
I love this product! It makes it so easy to get your eyebrows looking just right. I'll only be using this from now on.,positive
Perfect for any occasion,positive
"All right, so it is gonna suck all the moisture from your face . . . but the trade off for that is makeup that will NOT move.  Using it for a project with extensive makeup effects and it locks the design down.  I'm not sure this is something that can be used often, but for ""event"" use . . it's worth it.",positive
"[[VIDEOID:b3dd1767fb4bf56529c0c978be6ae78e]] This video doesn't do justice, their so shiny so cute 😍",positive
Wife loves these and she said she is getting so much unused product that usually would be tossed away from her glosses and concealers so that is money saved right there!,positive
"I like lavender and since this was sold as a product for babies, I thought it would be a light scent for daytime.  When I first sprayed it, it wasn't at all what I thought lavender should smell like and not in a good way.  So, I tried it again the next day and then the scent of lavender came through perfectly.  Just a really light scent.  It could be perfect for a first perfume for a gal or if you are looking for something that doesn't overpower you.",positive
These salts provide a unique and pleasant smell.  They definitely provide extra relaxation and you get a large amount in the container.  It is a much better value than epsom salts that I have bought at local retailers.  I would recommend this one and I will try other products from this group.,positive
Watered down dont waste your money!,negative
Within two hours of using them my finger nails are already peeling the paint. I redid them twice and same thing each time.,negative
So good! I also gave this as a Christmas gift. They now have this on repeat delivery they love it so much!!,positive
easy to apply,positive
"Super cute earrings, very dainty and what a great price.",positive
I like rubbing it all over my face,positive
"Unfortunately, these really did not work well, the sticky part wears off quickly after peeling off and these bubble up. Also the strips are too tough to file off to the right length. I love the print as they are cute...",negative
"A great smelling essential oil with a spicy feel and smell. Excellent simple packaging, great addition to my oil collection, and overall a great purchase.",positive
Did not work. Cream was all dried out,negative
"After review of all face brushes, I chose the MiroPure Rechargeable Facial Brush based on its reviews and it's affordable price.  After it was charged, I could not get it to turn on, but I re-read the reviews and then pushed the ""on"" button more firmly.  Yes, it worked!  It works just as expected.  The only drawback is that when I hold the brush against my face, my hand accidentally touches the button that changes the speed.  Remembering to move my hand slightly solved that problem.  I am very happy with this purchase.",positive
"These are beautiful twists. As soon as I took them out of the package I smiled.😊<br />The color is very pretty and the twist pattern is tighter and dainty vs. looser ń bulky.<br />These actually have a tiny portion of the twists ended in small loose coils (which I like), vs. twisted to the very end.<br />Although eight packs, the packs are very small due to the tighter/thinner twists.<br />The picture shown is two combined bundles of the eight.<br />I have a larger head therefore will absolutely need to purchase another.<br />I install individual parameter and crocheted middle, which tends to take up more hair for a fuller look also. Hope this helps.😉",positive
Bueno,positive
